intent,question,answer
apa_itu_bapenda,Apa itu Bapenda Kota Medan?,Bapenda Kota Medan adalah Badan Pendapatan Daerah yang bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Bapenda Medan itu apa?,Bapenda Kota Medan adalah Badan Pendapatan Daerah yang bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Apakah fungsi Bapenda Kota Medan?,Bapenda Kota Medan bertugas mengelola pendapatan daerah dari sektor pajak dan retribusi daerah.
apa_itu_bapenda,Tugas utama Bapenda Medan apa?,Tugas utama Bapenda Kota Medan adalah pengelolaan pajak dan retribusi daerah.
apa_itu_bapenda,Bapenda Medan mengurus apa saja?,Bapenda Kota Medan mengurus pengelolaan pajak dan retribusi daerah.
tugas_fungsi,Apa tugas Bapenda Kota Medan?,Bapenda Kota Medan bertugas melakukan pemungutan dan pengelolaan pajak daerah sesuai peraturan yang berlaku.
tugas_fungsi,Fungsi Bapenda Medan apa saja?,Fungsi Bapenda Kota Medan meliputi perencanaan, pemungutan, dan pengawasan pajak daerah.
tugas_fungsi,Peran Bapenda dalam pajak daerah?,Bapenda Kota Medan berperan dalam pengelolaan dan optimalisasi penerimaan pajak daerah.
tugas_fungsi,Apa kewenangan Bapenda Medan?,Kewenangan Bapenda Kota Medan meliputi pengelolaan pajak dan retribusi daerah sesuai ketentuan.
tugas_fungsi,Bapenda bertanggung jawab atas apa?,Bapenda Kota Medan bertanggung jawab atas pengelolaan pendapatan daerah dari pajak.
jam_layanan,Jam pelayanan Bapenda Medan?,Jam pelayanan Bapenda Kota Medan mengikuti jam kerja pemerintah daerah.
jam_layanan,Bapenda Medan buka jam berapa?,Jam operasional Bapenda Kota Medan mengikuti ketentuan jam kerja pemerintah daerah.
jam_layanan,Kapan jam kerja Bapenda Medan?,Jam kerja Bapenda Kota Medan sesuai ketentuan pemerintah daerah.
jam_layanan,Bapenda Medan buka hari apa saja?,Pelayanan Bapenda Kota Medan dilakukan pada hari kerja.
jam_layanan,Apakah Bapenda buka saat weekend?,Pelayanan Bapenda Kota Medan hanya dilakukan pada hari kerja.
alamat_kantor,Alamat kantor Bapenda Kota Medan?,Alamat kantor Bapenda Kota Medan dapat dilihat melalui informasi resmi Pemerintah Kota Medan.
alamat_kantor,Dimana lokasi Bapenda Medan?,Lokasi kantor Bapenda Kota Medan tercantum pada informasi resmi Pemerintah Kota Medan.
alamat_kantor,Kantor Bapenda Medan dimana?,Kantor Bapenda Kota Medan beralamat sesuai informasi resmi pemerintah daerah.
alamat_kantor,Alamat lengkap Bapenda Medan?,Alamat lengkap Bapenda Kota Medan tersedia pada kanal resmi Pemerintah Kota Medan.
alamat_kantor,Cara menuju kantor Bapenda Medan?,Informasi lokasi dan akses ke kantor Bapenda Kota Medan tersedia di situs resmi Pemerintah Kota Medan.
kontak_resmi,Nomor kontak Bapenda Medan?,Kontak resmi Bapenda Kota Medan dapat diperoleh melalui situs atau kanal resmi Pemerintah Kota Medan.
kontak_resmi,Telepon Bapenda Medan?,Nomor telepon Bapenda Kota Medan tersedia pada informasi resmi pemerintah daerah.
kontak_resmi,Email resmi Bapenda Medan?,Alamat email resmi Bapenda Kota Medan tercantum pada kanal resmi Pemerintah Kota Medan.
kontak_resmi,Bagaimana menghubungi Bapenda Medan?,Bapenda Kota Medan dapat dihubungi melalui kontak resmi yang tersedia di kanal pemerintah daerah.
kontak_resmi,Kontak pengaduan Bapenda Medan?,Informasi pengaduan Bapenda Kota Medan tersedia melalui kanal resmi pemerintah daerah.
jenis_pajak,Apa saja jenis pajak daerah?,Jenis pajak daerah meliputi pajak restoran, hotel, hiburan, parkir, PBB, dan jenis pajak lainnya sesuai peraturan.
jenis_pajak,Jenis pajak apa yang dikelola Bapenda?,Bapenda Kota Medan mengelola berbagai jenis pajak daerah sesuai ketentuan peraturan.
jenis_pajak,Pajak daerah apa saja di Medan?,Pajak daerah di Kota Medan meliputi beberapa jenis sesuai peraturan daerah.
jenis_pajak,Daftar pajak daerah Kota Medan?,Daftar pajak daerah Kota Medan ditetapkan dalam peraturan daerah.
jenis_pajak,Pajak apa saja yang harus dibayar?,Jenis pajak yang harus dibayar tergantung pada objek pajak sesuai ketentuan.
wajib_pajak,Siapa yang disebut wajib pajak?,Wajib pajak adalah orang pribadi atau badan yang memiliki kewajiban membayar pajak sesuai ketentuan.
wajib_pajak,Siapa wajib pajak daerah?,Wajib pajak daerah adalah pihak yang dikenakan kewajiban pajak berdasarkan peraturan daerah.
wajib_pajak,Apakah usaha kecil termasuk wajib pajak?,Usaha yang memenuhi kriteria objek pajak tetap memiliki kewajiban pajak sesuai ketentuan.
wajib_pajak,Kapan seseorang menjadi wajib pajak?,Seseorang menjadi wajib pajak saat memenuhi syarat objek dan subjek pajak.
wajib_pajak,Siapa saja yang wajib bayar pajak?,Setiap pihak yang memenuhi ketentuan objek pajak wajib membayar pajak.
jatuh_tempo_umum,Kapan jatuh tempo pembayaran pajak daerah?,Jatuh tempo pembayaran pajak daerah ditentukan sesuai jenis pajak dan masa pajak berdasarkan ketentuan yang berlaku.
