intent,question
alamat_kantor,alamat kantor bapenda kota medan
alamat_kantor,min dmn lokasi bapenda medan
alamat_kantor,bang kantor bapenda medan dmn dong
alamat_kantor,kak alamat lengkap bapenda medan ya
alamat_kantor,permisi cara menuju kantor bapenda medan
alamat_kantor,kantornya dmn bg ya
alamat_kantor,min share loc kantornya dong
alamat_kantor,bang lokasi kantor bapenda dmn ya
alamat_kantor,kak kalo mau ke dinas pendapatan medan lewat mana ya
alamat_kantor,permisi alamat kantor bapenda medan dmn ya
alamat_kantor,alamat kantor bapenda kota medan dong
alamat_kantor,min dmn lokasi bapenda medan ya
alamat_kantor,bang kantor bapenda medan dimana dong
alamat_kantor,kak alamat lengkap bapenda medan dong
alamat_kantor,permisi cara menuju kantor bapenda medan dong
apa_itu_bapenda,apa itu bapenda kota medan
apa_itu_bapenda,min bapenda medan itu apa
apa_itu_bapenda,bang apa fungsi bapenda kota medan dong
apa_itu_bapenda,kak tugas utama bapenda medan apa ya
apa_itu_bapenda,permisi bapenda medan mengurus apa saja
apa_itu_bapenda,bapenda tu apaan sih ya
apa_itu_bapenda,min sebenernya bapenda itu apa sih dong
apa_itu_bapenda,bang bapenda medan tu ngurusin apa aja ya
apa_itu_bapenda,kak apa itu bapenda kota medan ya
apa_itu_bapenda,permisi bapenda medan itu apa ya
apa_itu_bapenda,apa fungsi bapenda kota medan dong
apa_itu_bapenda,min tugas utama bapenda medan apa ya
apa_itu_bapenda,bang bapenda medan mengurus apa saja dong
apa_itu_bapenda,kak bapenda tu apaan sih dong
apa_itu_bapenda,permisi sebenernya bapenda itu apa sih dong
bayar_online,apakah pajak bisa dibayar online
bayar_online,min bayar pajak online gimana
bayar_online,bang apa ada pembayaran pajak online dong
bayar_online,kak bayar pajak lewat aplikasi ya
bayar_online,permisi cara bayar pajak secara online
bayar_online,bisa bayar lewat gopay gak ya
bayar_online,min bayar pke ovo bisa dong
bayar_online,bang ada aplikasi buat bayar pajak ya
bayar_online,kak bayar pajak online lewat apa ya
bayar_online,permisi apa pajak bisa dibayar online ya
bayar_online,bayar pajak online gimana dong
bayar_online,min apa ada pembayaran pajak online ya
bayar_online,bang bayar pajak lewat aplikasi dong
bayar_online,kak cara bayar pajak secara online dong
bayar_online,permisi bisa bayar lewat gopay gak dong
bayar_pajak,bayar pajak
bayar_pajak,min mau bayar pajak
bayar_pajak,bang ingin bayar pajak dong
bayar_pajak,kak pembayaran pajak ya
bayar_pajak,permisi setor pajak
bayar_pajak,lunasi pajak ya
bayar_pajak,min bayar pajak lewat wa dong
bayar_pajak,bang mau bayar pajak ya
bayar_pajak,kak bayar pajak dmn ya
bayar_pajak,permisi aku mau bayar pajak ya
bayar_pajak,pembayaran pajak ya
bayar_pajak,min bayar pajak dmn ya
bayar_pajak,bang tolong bantu bayar pajak dong
bayar_pajak,permisi bayar pajak dong
